player_name,salary_2023,note_2023,number,position,team,height,college,country
Cheyenne Parker,216100,,32,Forward,Atlanta Dream,6-4,Middle Tennessee,USA
Allisha Gray,194600,,15,Guard,Atlanta Dream,6-0,South Carolina,USA
Danielle Robinson,155000,,3,Guard,Atlanta Dream,5-9,Oklahoma,USA
Monique Billings,145000,,25,Forward,Atlanta Dream,6-4,UCLA,USA
Nia Coffey,130000,,12,Forward,Atlanta Dream,6-1,Northwestern,USA
Aari McDonald,78586,,2,Guard,Atlanta Dream,5-6,Arizona,USA
Asia Durr (AD),74305,,23,Guard,Atlanta Dream,5-10,Louisville,USA
Rhyne Howard,73584,,10,Guard,Atlanta Dream,6-2,Kentucky,USA
Laeticia Amihere,71300,,7,Forward,Atlanta Dream,6-3,South Carolina,Canada
Haley Jones,71300,,13,Forward-Guard,Atlanta Dream,6-1,Stanford,USA
Iliana Rupert,67634,,21,Center,Atlanta Dream,6-4,Tango Bourges,France
Naz Hillmon,64657,,00,Forward,Atlanta Dream,6-2,Michigan,USA
Lorela Cubaj,62285,,TBD,Forward-Center,,6-4,Georgia Tech,Italy
Kahleah Copper,205000,,2,Guard-Forward,Chicago Sky,6-1,Rutgers,USA
Marina Mabrey,202000,,4,Guard,Chicago Sky,5-11,Notre Dame,USA
Isabelle Harrison,160000,,20,Forward,Chicago Sky,6-3,Tennessee,USA
Courtney Williams,160000,,10,Guard,Chicago Sky,5-8,South Florida,USA
Elizabeth Williams,135000,,1,Center-Forward,Chicago Sky,6-3,Duke,United Kingdom
Rebekah Gardner,100000,,35,Guard,Chicago Sky,6-1,UCLA,USA
Alanna Smith,100000,,8,Forward,Chicago Sky,6-4,Stanford,Australia
Ruthy Hebard,83194,,24,Forward,Chicago Sky,6-4,Oregon,USA
Kristine Anigwe,74305,,33,Forward-Center,Chicago Sky,6-4,California,United Kingdom
Dana Evans,69053,,11,Guard,Chicago Sky,5-6,Louisville,USA
Sika Koné,62285,,23,Forward,Chicago Sky,6-3,Spain,Mali
Morgan Bertsch,62285,,25,Forward,Chicago Sky,6-4,California-Davis,USA
Robyn Parks,62285,,21,Forward,Chicago Sky,6-1,Virginia Commonwealth,USA
DeWanna Bonner,234350,,24,Forward-Guard,Connecticut Sun,6-4,Auburn,USA
Alyssa Thomas,212000,,25,Forward,Connecticut Sun,6-2,Maryland,USA
Brionna Jones,208000,,42,Forward,Connecticut Sun,6-3,Maryland,USA
Tiffany Hayes,162477,,15,Guard,Connecticut Sun,5-10,Connecticut,USA
Rebecca Allen,136850,,9,Guard,Connecticut Sun,6-2,Australia,Australia
Natisha Hiedeman,120000,,2,Guard,Connecticut Sun,5-8,Marquette,USA
Tyasha Harris,83194,,52,Guard,Connecticut Sun,5-10,South Carolina,USA
DiJonai Carrington,69053,,21,Guard-Forward,Connecticut Sun,5-11,Baylor,USA
Leigha Brown,65290,,32,Guard,Connecticut Sun,6-1,Michigan,USA
Olivia Nelson-Ododa,64657,,10,Center,Connecticut Sun,6-5,Connecticut,USA
Lauren Cox,8666,,TBD,Forward,,6-4,Baylor,USA
Arike Ogunbowale,234936,,24,Guard,Dallas Wings,5-8,Notre Dame,USA
Natasha Howard,227900,,6,Forward,Dallas Wings,6-2,Florida State,USA
Teaira McCowan,190000,,7,Center,Dallas Wings,6-7,Mississippi State,USA
Diamond DeShields,154500,,88,Guard,Dallas Wings,6-1,Tennessee,USA
Satou Sabally,86701,,0,Forward,Dallas Wings,6-4,Oregon,USA
Crystal Dangerfield,80000,,11,Guard,Dallas Wings,5-5,Connecticut,USA
Awak Kuier,78586,,28,Forward,Dallas Wings,6-6,Ragusa,Finland
Maddy Siegrist,74305,,20,Forward,Dallas Wings,6-2,Villanova,USA
Lou Lopez Sénéchal,71300,,8,Guard,Dallas Wings,6-1,Connecticut,Mexico
Veronica Burton,70609,,12,Guard,Dallas Wings,5-9,Northwestern,USA
Ashley Joens,65290,,1,Guard,Dallas Wings,6-1,Iowa State,USA
Jasmine Dickey,62285,,23,Guard,Dallas Wings,5-9,Delaware,USA
Kalani Brown,50398,,21,Center,Dallas Wings,6-7,Baylor,USA
Kelsey Mitchell,206000,,0,Guard,Indiana Fever,5-8,Ohio State,USA
Erica Wheeler,202154,,17,Guard,Indiana Fever,5-7,Rutgers,USA
Victoria Vivians,135000,,35,Guard,Indiana Fever,6-1,Mississippi State,USA
Emma Cannon,80000,,32,Forward,Indiana Fever,6-2,Florida Southern,USA
Aliyah Boston,74305,,7,Forward-Center,Indiana Fever,6-5,South Carolina,USA
NaLyssa Smith,73584,,1,Forward,Indiana Fever,6-4,Baylor,USA
Grace Berger,71300,,34,Guard,Indiana Fever,6-0,Indiana,USA
