player_name,signing_status,games,games_start,minutes,points,field_goals_made,field_goals_attempted,field_goal_pct,two_pointers_made,two_pointers_attempted,two_pointer_pct,three_pointers_made,three_pointers_attempted,three_pointer_pct,free_throws_made,free_throws_attempted,free_throw_percent,offensive_rebounds,defensive_rebounds,total_rebounds,assists,turnovers,steals,blocks,fouls
Breanna Stewart,UFA,34,34,1052,741,255,540,0.47200000000000003,188,363,0.518,67,177,0.379,164,196,0.8370000000000001,46,211,257,97,43,54,31,72
Kelsey Plum,--,36,36,1182,726,244,531,0.46,131,262,0.5,113,269,0.42,125,149,0.8390000000000001,9,87,96,184,94,36,2,90
A'ja Wilson,RFA,36,36,1080,703,260,519,0.501,229,436,0.525,31,83,0.373,152,187,0.813,66,273,339,75,61,52,70,76
Sabrina Ionescu,--,36,36,1163,626,211,513,0.41100000000000003,128,264,0.485,83,249,0.33299999999999996,121,130,0.9309999999999999,35,219,254,228,109,39,10,76
Nneka Ogwumike,UFA,34,34,1068,614,249,458,0.544,228,401,0.569,21,57,0.368,95,115,0.826,48,177,225,68,62,57,15,80
Skylar Diggins-Smith,--,30,30,1019,591,208,485,0.429,168,350,0.48,40,135,0.29600000000000004,135,160,0.8440000000000001,28,93,121,166,80,46,30,81
Arike Ogunbowale,--,30,30,941,590,204,510,0.4,121,274,0.442,83,236,0.35200000000000004,99,124,0.7979999999999999,18,80,98,108,54,45,3,65
Jewell Loyd,Core,36,36,1090,586,201,508,0.396,117,290,0.40299999999999997,84,218,0.385,100,112,0.893,20,75,95,121,78,39,7,64
Kelsey Mitchell,--,31,31,1010,569,196,447,0.43799999999999994,124,271,0.45799999999999996,72,176,0.409,105,122,0.861,14,46,60,129,73,29,7,72
Rhyne Howard,Rookie,34,34,1066,552,184,509,0.361,99,261,0.379,85,248,0.34299999999999997,99,125,0.792,27,127,154,96,53,54,26,87
Jackie Young,--,34,34,1129,542,191,401,0.47600000000000003,141,285,0.495,50,116,0.431,110,128,0.8590000000000001,43,105,148,132,43,48,8,81
Natasha Howard,Core,35,35,1048,530,206,427,0.48200000000000004,176,335,0.525,30,92,0.326,88,123,0.715,69,187,256,81,113,45,35,110
Ariel Atkins,--,36,36,1081,527,185,440,0.42,115,248,0.46399999999999997,70,192,0.365,87,103,0.845,34,83,117,83,51,47,9,99
Diana Taurasi,UFA,31,31,962,519,150,402,0.373,58,129,0.45,92,273,0.337,127,142,0.894,8,98,106,120,84,22,18,89
Aerial Powers,UFA,35,31,943,505,170,441,0.385,137,334,0.41,33,107,0.308,132,162,0.815,46,118,164,100,90,42,11,63
Brionna Jones,Core,36,7,905,496,186,327,0.569,186,321,0.579,0,6,0,124,147,0.8440000000000001,95,90,185,44,54,44,13,94
Kahleah Copper,Core,31,31,891,488,176,366,0.48100000000000004,140,265,0.528,36,101,0.35600000000000004,100,129,0.775,32,144,176,70,63,14,1,75
Alyssa Thomas,UFA,36,36,1154,484,188,376,0.5,188,374,0.503,0,2,0,108,148,0.73,74,220,294,218,103,62,7,101
Jonquel Jones,Core,33,32,871,482,176,343,0.513,135,232,0.5820000000000001,41,111,0.369,89,111,0.802,85,198,283,59,85,35,38,89
Chelsea Gray,UFA,35,35,1039,481,183,373,0.491,149,273,0.546,34,100,0.34,81,89,0.91,10,102,112,212,80,57,10,54
Marina Mabrey,RFA,34,32,951,464,178,424,0.42,117,250,0.46799999999999997,61,174,0.35100000000000003,47,69,0.6809999999999999,20,104,124,125,83,28,13,86
DeWanna Bonner,--,33,33,991,444,156,355,0.439,110,215,0.512,46,140,0.32899999999999996,86,104,0.8270000000000001,25,131,156,91,52,41,11,59
Allisha Gray,RFA,33,33,1086,439,146,345,0.423,82,188,0.436,64,157,0.408,83,104,0.7979999999999999,29,130,159,84,42,37,24,78
NaLyssa Smith,Rookie,32,32,983,433,160,382,0.419,123,285,0.43200000000000005,37,97,0.381,76,123,0.618,70,183,253,45,76,15,8,93
Elena Delle Donne,--,25,25,694,429,155,323,0.48,120,228,0.526,35,95,0.368,84,92,0.9129999999999999,30,128,158,57,27,12,27,36
Cheyenne Parker,UFA,36,35,942,426,176,352,0.5,164,297,0.552,12,55,0.218,62,78,0.795,59,163,222,71,72,37,32,98
Candace Parker,UFA,32,32,904,422,159,347,0.45799999999999996,117,212,0.552,42,135,0.311,62,76,0.816,30,245,275,145,78,31,31,70
Kayla McBride,UFA,31,31,923,411,137,338,0.405,90,206,0.43700000000000006,47,132,0.35600000000000004,90,99,0.909,16,71,87,64,45,32,2,43
Brittney Sykes,UFA,32,24,921,405,152,351,0.433,138,299,0.462,14,52,0.26899999999999996,87,113,0.77,23,94,117,118,84,65,22,84
Aari McDonald,Rookie,36,6,876,398,131,319,0.41100000000000003,83,177,0.469,48,142,0.33799999999999997,88,101,0.871,15,66,81,93,78,53,1,78
Diamond DeShields,RFA,30,19,760,393,142,366,0.38799999999999996,121,277,0.43700000000000006,21,89,0.23600000000000002,88,115,0.765,18,97,115,67,70,30,15,99
Courtney Williams,UFA,34,34,950,379,165,387,0.426,143,322,0.444,22,65,0.33799999999999997,27,36,0.75,30,126,156,111,57,33,14,54
Courtney Vandersloot,UFA,32,32,849,376,136,283,0.48100000000000004,107,204,0.525,29,79,0.36700000000000005,75,98,0.765,23,102,125,207,87,38,16,53
Azurá Stevens,UFA,35,8,768,371,150,318,0.47200000000000003,108,202,0.535,42,116,0.36200000000000004,29,39,0.7440000000000001,21,116,137,28,26,17,39,61
Natasha Cloud,SuspCE,34,34,1065,364,123,308,0.39899999999999997,80,173,0.462,43,135,0.319,75,91,0.8240000000000001,16,106,122,239,94,35,10,55
Teaira McCowan,RFA,33,15,623,362,139,231,0.602,139,231,0.602,0,0,,84,140,0.6,98,134,232,25,56,11,22,102
Sophie Cunningham,RFA,28,20,827,352,120,267,0.449,50,92,0.5429999999999999,70,175,0.4,42,48,0.875,19,104,123,45,29,28,10,94
Victoria Vivians,RFA,35,30,940,342,126,375,0.336,82,218,0.376,44,157,0.28,46,62,0.742,23,102,125,85,72,37,9,83
Shey Peddy,--,34,24,974,338,117,280,0.418,69,134,0.515,48,146,0.32899999999999996,56,63,0.889,45,83,128,117,48,54,7,62
Natisha Hiedeman,RFA,36,31,901,329,118,274,0.431,49,106,0.462,69,168,0.41100000000000003,24,30,0.8,6,57,63,118,47,42,4,66
Moriah Jefferson,UFA,31,30,809,323,117,259,0.452,81,183,0.44299999999999995,36,76,0.474,53,65,0.815,11,64,75,147,68,36,4,67
Dearica Hamby,--,34,32,901,315,116,249,0.466,100,176,0.568,16,73,0.21899999999999997,67,93,0.72,48,192,240,38,50,36,5,68
Ezi Magbegor,Reserved,33,23,817,315,133,242,0.55,123,213,0.5770000000000001,10,29,0.345,39,53,0.736,53,131,184,45,46,29,58,95
Shakira Austin,Rookie,36,32,776,312,122,223,0.547,122,222,0.55,0,1,0,68,109,0.624,63,169,232,33,54,27,30,84
Katie Lou Samuelson,--,32,29,943,311,107,287,0.373,51,128,0.39799999999999996,56,159,0.35200000000000004,41,49,0.8370000000000001,17,78,95,62,34,33,7,52
Isabelle Harrison,UFA,35,18,644,306,116,249,0.466,114,247,0.462,2,2,1,72,83,0.867,48,102,150,46,46,26,5,73
Myisha Hines-Allen,RFA,34,15,656,302,114,275,0.415,85,196,0.434,29,79,0.36700000000000005,45,64,0.703,37,142,179,66,58,26,10,56
Rebekah Gardner,Reserved,35,2,760,295,116,214,0.542,101,172,0.5870000000000001,15,42,0.35700000000000004,48,60,0.8,44,71,115,44,55,49,19,81
Jordin Canada,UFA,32,25,865,294,104,271,0.384,97,221,0.439,7,50,0.14,79,98,0.8059999999999999,7,66,73,176,75,44,5,58
Jessica Shepard,--,36,22,941,291,108,216,0.5,102,192,0.531,6,24,0.25,69,94,0.7340000000000001,72,194,266,107,62,14,12,75
Stefanie Dolson,UFA,36,36,826,290,113,229,0.493,87,163,0.534,26,66,0.39399999999999996,38,42,0.905,43,129,172,66,56,13,28,112
Kayla Thornton,--,36,35,1050,287,97,207,0.469,72,130,0.5539999999999999,25,77,0.325,68,82,0.8290000000000001,65,146,211,65,42,39,20,97
Rachel Banham,UFA,36,5,630,283,101,235,0.43,44,86,0.512,57,149,0.38299999999999995,24,30,0.8,3,45,48,81,48,9,4,62
Han Xu,Reserved,32,0,538,273,109,221,0.493,93,185,0.503,16,36,0.444,39,49,0.7959999999999999,38,77,115,30,23,17,21,31
Erica Wheeler,UFA,30,30,789,251,98,276,0.355,74,203,0.365,24,73,0.32899999999999996,31,41,0.7559999999999999,19,74,93,118,76,32,2,74
DiJonai Carrington,Rookie,36,2,631,244,84,203,0.414,65,141,0.461,19,62,0.306,57,76,0.75,38,74,112,38,59,29,4,70
Lexie Brown,UFA,34,16,850,243,93,211,0.441,40,78,0.513,53,133,0.39799999999999996,4,6,0.667,8,70,78,70,28,34,7,44
Marine Johannès,Reserved,24,10,612,241,83,179,0.46399999999999997,28,53,0.528,55,126,0.43700000000000006,20,23,0.87,5,35,40,82,44,14,3,38
Shatori Walker-Kimbrough,UFA,35,3,705,241,80,199,0.402,54,124,0.435,26,75,0.34700000000000003,55,61,0.902,10,54,64,53,39,37,10,43
Queen Egbo,Rookie,34,31,720,239,95,215,0.442,95,215,0.442,0,0,,49,76,0.645,61,148,209,31,64,30,40,98
Alysha Clark,UFA,29,29,766,233,91,196,0.46399999999999997,61,97,0.629,30,99,0.303,21,23,0.9129999999999999,23,108,131,59,38,28,8,55
Danielle Robinson,UFA,31,30,732,230,85,203,0.419,76,163,0.466,9,40,0.225,51,60,0.85,12,77,89,119,51,22,5,44
Sami Whitcomb,UFA,35,6,746,227,74,201,0.368,15,33,0.455,59,168,0.35100000000000003,20,23,0.87,10,72,82,82,49,24,5,57
Tiffany Mitchell,UFA,34,8,553,221,82,182,0.451,70,151,0.46399999999999997,12,31,0.387,45,52,0.865,20,21,41,40,30,28,2,46
Chennedy Carter,--,24,2,393,213,85,189,0.45,83,179,0.46399999999999997,2,10,0.2,41,55,0.745,9,36,45,46,43,15,9,52
Kristy Wallace,Rookie,29,18,602,190,66,162,0.40700000000000003,41,94,0.436,25,68,0.368,33,42,0.7859999999999999,18,50,68,63,44,17,6,58
Nikolina Milić,UFA,31,4,364,185,74,135,0.5479999999999999,68,113,0.602,6,22,0.273,31,42,0.738,46,47,93,23,42,10,8,57
Chiney Ogwumike,UFA,26,7,478,182,69,148,0.466,61,130,0.469,8,18,0.444,36,51,0.706,52,90,142,28,37,19,9,71
Crystal Dangerfield,Reserved,33,27,710,180,66,166,0.39799999999999996,43,95,0.45299999999999996,23,71,0.324,25,34,0.735,14,52,66,85,31,18,4,43
Tiffany Hayes,SuspCE,12,11,303,178,66,121,0.545,48,79,0.608,18,42,0.429,28,41,0.6829999999999999,3,37,40,23,22,8,1,33
Tyasha Harris,--,35,5,552,174,69,165,0.418,52,111,0.46799999999999997,17,54,0.315,19,24,0.792,6,26,32,99,39,13,4,35
Rebecca Allen,UFA,25,19,523,174,64,169,0.379,38,86,0.442,26,83,0.313,20,24,0.833,8,76,84,31,24,20,24,48
Emma Cannon,UFA,24,2,335,164,60,114,0.526,51,96,0.531,9,18,0.5,35,48,0.7290000000000001,22,53,75,13,17,14,2,48
Elizabeth Williams,UFA,30,0,447,161,68,141,0.48200000000000004,68,141,0.48200000000000004,0,0,,25,43,0.581,45,70,115,14,19,18,19,44
Michaela Onyenwere,Rookie,34,1,466,159,49,130,0.377,34,80,0.425,15,50,0.3,46,55,0.836,13,57,70,13,25,14,8,69
Bridget Carleton,RFA,36,2,606,156,54,134,0.40299999999999997,25,52,0.48100000000000004,29,82,0.354,19,26,0.731,12,65,77,40,23,16,5,56
Brianna Turner,--,35,35,1168,151,68,112,0.607,68,112,0.607,0,0,,15,30,0.5,69,169,238,80,50,44,56,80
Naz Hillmon,Rookie,34,12,674,150,59,123,0.48,59,121,0.488,0,2,0,32,39,0.821,52,120,172,41,40,22,10,51
Monique Billings,UFA,23,8,401,149,55,117,0.47,55,116,0.474,0,1,0,39,51,0.765,45,101,146,26,30,19,8,54
Dana Evans,Rookie,33,1,378,142,49,130,0.377,27,63,0.429,22,67,0.32799999999999996,22,25,0.88,5,22,27,41,27,10,3,29
Riquna Williams,UFA,21,0,377,140,45,118,0.381,11,25,0.44,34,93,0.366,16,21,0.762,5,37,42,25,6,9,3,35
Epiphanny Prince,Hardship,33,0,406,130,44,124,0.355,23,65,0.354,21,59,0.35600000000000004,21,25,0.84,6,26,32,58,15,20,3,30
